gene,gene_name,log2_foldchange,gene_description,crz1,cna1
699,,1.19,Transmembrane receptor,,yes
2882,,1.2,,,yes
6356,,1.24,Mitochondrial protein,,yes
194,,1.25,,,yes
1993,,1.25,,,yes
2192,,1.25,,,yes
1562,,1.26,,,yes
177,,1.27,,,yes
1944,,1.27,,,yes
5514,,1.28,,,yes
5637,,1.3,,,yes
5457,,1.31,Pentatricopeptide repeat protein,,yes
1244,,1.34,,,yes
6690,,1.35,,,yes
190,,1.38,,,yes
1443,,1.38,,,yes
2705,,1.48,,,yes
5129,,1.49,,,yes
798,,1.52,,,yes
474,,1.62,,,yes
6000,,1.79,Glycoprotein,,yes
2759,,2.4,,,yes
156,SP1/CRZ1,-1.29,Zinc finger transcription factor,yes,
6508,FKS1,-1.07,"1,3-Beta-D-glucan synthase",yes,
7499,CHS8,-1.02,Chitin synthase,yes,
5277,,-1.47,Vesicle-associated membrane protein,yes,
5615,,-1.17,Syntaxin1B/2/3,yes,
6242,CFT1,1,Major iron permease,yes,
1683,STL1,1.02,Putative monosaccharide transporter,yes,
6290,SNF3,1.03,High-affinity glucose transporter,yes,
3426,GMT2,1.04,GDP-mannose transporter,yes,
869,PDR5,1.24,ATP-binding cassette transporter,yes,
6503,,1.34,Uridine permease,yes,
5411,,-1.29,Endoglucase,yes,
3146,,-1.07,Alpha-amylase,yes,
2588,,1.01,Avenacinase,yes,
6936,,1.03,Beta-glucosidase,yes,
692,,-1.18,FAD dependent oxidoreductase,yes,
7770,FRE1,-1.04,Ferric reductase,yes,
2958,CFO2,1.01,Ferroxidase,yes,
6241,CFO1,1.12,Ferroxidase/laccase,yes,
4514,MPK1,-1.83,Mitogen-activating protein kinase,yes,
2194,,-1.62,AGC/NDR protein kinase,yes,
1704,,-1.46,Serine/threonine protein kinase,yes,
4380,,-1.54,Peptidase,yes,
1539,,-1.48,Myo-inositol-1-phosphate synthase,yes,
6016,CAP6,-1.15,"Alpha-1,3-mannosyltransferase",yes,
4350,,-1.11,Glycerophosphoryl diester phosphodiesterase,yes,
2458,,-1.01,GTPase activating protein,yes,
5302,,-2.12,,yes,
2008,OVA2,-1.87,,yes,
4280,,-1.83,,yes,
4752,,-1.69,,yes,
1854,,-1.61,Heparinase II/III family protein,yes,
7638,,-1.57,,yes,
1207,,-1.47,,yes,
6507,,-1.44,,yes,
7873,,-1.35,MIPC synthase,yes,
1796,,-1.43,,yes,
6473,,-1.4,,yes,
6973,,-1.35,,yes,
2114,,-1.32,,yes,
7723,,-1.31,,yes,
1131,,-1.25,,yes,
6060,,-1.23,,yes,
6347,BLP2,-1.2,pr4/barwin domain protein,yes,
3152,,-1.17,Calcium-binding protein,yes,
2585,,-1.17,,yes,
3857,,-1.16,,yes,
4171,,-1.14,,yes,
2169,,-1.11,,yes,
261,,-1.09,,yes,
5864,,-1.08,,yes,
274,,-1.06,,yes,
6943,,-1.01,,yes,
349,,1.02,,yes,
1574,,1.06,,yes,
1070,,1.08,Class II aldolase/adducing family protein,yes,
4355,,1.17,,yes,
7388,,1.35,,yes,
1873,,1.48,,yes,
1230,CDA2,-2.47,Chitin deactylase 2,,yes
6835,KRE61,-2.36,Glucosidase,,yes
546,CHS6,-2.17,Chitin synthase 6,,yes
5803,EXG1,-2.09,"Exo-β-1,3-glucanase",,yes
5818,CHS5,-1.91,Chitin synthase 5,,yes
6336,BGL2,-1.78,"Glucan 1,3 β-glucosidase",,yes
6501,GAS1,-1.75,"1,3-β-glucanosyltransferase",,yes
5458,,-1.68,"Endo-1,3(4)-β-glucanase",,yes
5138,SPR1,-1.61,"Exo-β-1,3-glucanase",,yes
3412,CTS1,-1.3,Chitinase 1,,yes
2217,CHS7,-1.26,Chitin synthase 7,,yes
663,,-1.18,,,yes
3135,,-1.33,Magnesium transporter NIPA2,,yes
3242,RIM2,-1.25,Peroxisomal membrane protein,,yes
25,VCX1,-1.14,Calcium ion transporter,,yes
1232,PMC1,-1.09,Calcium-transporting ATPase,,yes
5632,,-1.85,Cation-independent mannose-6-phosphate receptor ,,yes
7406,MFα,-1.49,Pheromone alpha,,yes
7407,MFα3,-1.11,Fungal mating-type pheromone,,yes
