GeneID,GeneName,GeneDescription,Dataset
5891,,TDG/mug DNA glycosylase,cna1_thermal_stress
4386,,,cna1_thermal_stress
4880,,,cna1_thermal_stress
7574,,,cna1_thermal_stress
7450,,,cna1_thermal_stress
2297,,,cna1_thermal_stress
595,,,cna1_thermal_stress
5399,,,cna1_thermal_stress
3688,,,cna1_thermal_stress
5097,,,cna1_thermal_stress
2347,,,cna1_thermal_stress
3704,,,cna1_thermal_stress
465,,,cna1_thermal_stress
4076,,,cna1_thermal_stress
2058,,,cna1_thermal_stress
1052,,,cna1_thermal_stress
2129,,,cna1_thermal_stress
3252,,,cna1_thermal_stress
75,,,cna1_thermal_stress
961,,,cna1_thermal_stress
6805,,,cna1_thermal_stress
3705,,,cna1_thermal_stress
1691,,,cna1_thermal_stress
3352,,,cna1_thermal_stress
6075,,,cna1_thermal_stress
5608,,,cna1_thermal_stress
6800,,,cna1_thermal_stress
7511,,Nucleolar protein 15,cna1_thermal_stress
1643,,,cna1_thermal_stress
7733,,,cna1_thermal_stress
4766,,,cna1_thermal_stress
4154,,,cna1_thermal_stress
1621,,,cna1_thermal_stress
2570,,,cna1_thermal_stress
6602,,Cysteine-type peptidase,cna1_thermal_stress
1753,,,cna1_thermal_stress
3667,,,cna1_thermal_stress
5686,,,cna1_thermal_stress
6297,,,cna1_thermal_stress
4027,,,cna1_thermal_stress
7972,,,cna1_thermal_stress
1031,,,cna1_thermal_stress
3454,,,cna1_thermal_stress
6388,,,cna1_thermal_stress
1417,,,cna1_thermal_stress
3991,,Integral membrane protein,cna1_thermal_stress
1476,,,cna1_thermal_stress
54,,,cna1_thermal_stress
849,,,cna1_thermal_stress
6245,,,cna1_thermal_stress
2102,,,cna1_thermal_stress
2253,,,cna1_thermal_stress
1743,,,cna1_thermal_stress
5682,,,cna1_thermal_stress
1215,,,cna1_thermal_stress
74,PNS1,Protein PNS1,cna1_thermal_stress
3082,,Cupin domain-containing protein,cna1_thermal_stress
4466,,,cna1_thermal_stress
4892,,,cna1_thermal_stress
454,,,cna1_thermal_stress
6298,,,cna1_thermal_stress
6207,,,cna1_thermal_stress
7737,,,cna1_thermal_stress
3002,,,cna1_thermal_stress
2706,,,cna1_thermal_stress
6516,,,cna1_thermal_stress
932,,,cna1_thermal_stress
5520,,,cna1_thermal_stress
851,,,cna1_thermal_stress
3685,,,cna1_thermal_stress
2188,,,cna1_thermal_stress
5937,,,cna1_thermal_stress
7826,,,cna1_thermal_stress
2444,,,cna1_thermal_stress
453,,Mitochondrial protein,cna1_thermal_stress
3455,,,cna1_thermal_stress
1275,,,cna1_thermal_stress
8019,,,cna1_thermal_stress
4396,,,cna1_thermal_stress
2422,,,cna1_thermal_stress
3771,,DNA binding protein Ncp1,cna1_thermal_stress
6082,,Delayed-type hypersensitivity antigen ,cna1_thermal_stress
6827,,,cna1_thermal_stress
2424,,,cna1_thermal_stress
1493,,,cna1_thermal_stress
2016,,DUF1479 domain-containing protein,cna1_thermal_stress
6515,,,cna1_thermal_stress
1656,,,cna1_thermal_stress
936,,Lipid particle protein,cna1_thermal_stress
1538,,,cna1_thermal_stress
7700,,,cna1_thermal_stress
149,,,cna1_thermal_stress
1411,,,cna1_thermal_stress
2735,,,cna1_thermal_stress
1749,,,cna1_thermal_stress
4261,,,cna1_thermal_stress
5227,,,cna1_thermal_stress
7463,,Separase,cna1_thermal_stress
1995,,,cna1_thermal_stress
7479,,,cna1_thermal_stress
4963,,,cna1_thermal_stress
5738,,,cna1_thermal_stress
6583,,,cna1_thermal_stress
6608,,,cna1_thermal_stress
1864,,,cna1_thermal_stress
7415,,,cna1_thermal_stress
3856,,,cna1_thermal_stress
1180,,,cna1_thermal_stress
6624,,,cna1_thermal_stress
5515,,,cna1_thermal_stress
1977,,,cna1_thermal_stress
7548,,Cytoplasmic protein,cna1_thermal_stress
4707,,,cna1_thermal_stress
6567,,,cna1_thermal_stress
7945,,,cna1_thermal_stress
699,,Transmembrane receptor,cna1_thermal_stress
2882,,,cna1_thermal_stress
6356,,Mitochondrial protein,cna1_thermal_stress
194,,,cna1_thermal_stress
1993,,,cna1_thermal_stress
2192,,,cna1_thermal_stress
1562,,,cna1_thermal_stress
177,,,cna1_thermal_stress
1944,,,cna1_thermal_stress
5514,,,cna1_thermal_stress
5637,,,cna1_thermal_stress
5457,,Pentatricopeptide repeat protein,cna1_thermal_stress
1244,,,cna1_thermal_stress
6690,,,cna1_thermal_stress
190,,,cna1_thermal_stress
1443,,,cna1_thermal_stress
2705,,,cna1_thermal_stress
5129,,,cna1_thermal_stress
798,,,cna1_thermal_stress
474,,,cna1_thermal_stress
6000,,Glycoprotein,cna1_thermal_stress
2759,,,cna1_thermal_stress
5158,,,cna1_crz1_no_stress
5654,,,cna1_crz1_no_stress
7498,,DUF567 domain-containing protein ,cna1_crz1_no_stress
6347,,,cna1_crz1_no_stress
4796,CNA1,serine/threonine-protein phosphatase 2B catalytic subunit A1 ,cna1_no_stress
3538,,  ,cna1_no_stress
6375,,  ,cna1_no_stress
