gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06265	NA	40.067	-0.239	0.289	NA
CNAG_06266	NA	48.576	-0.239	0.281	NA
CNAG_06267	NA	33.377	0.253	0.316	NA
CNAG_06271	NA	11.734	0.407	0.507	NA
CNAG_06272	NA	841.625	0.047	0.103	0.8591
CNAG_06273	NA	1978.597	-0.096	0.111	0.7032
CNAG_06274	NA	8329.667	0.083	0.087	0.6647
CNAG_06276	CEP3	15.728	0.523	0.477	NA
CNAG_06277	NA	965.166	0.046	0.107	0.8694
CNAG_06278	TCO7	237.897	-0.234	0.143	0.3866
CNAG_06279	NA	82.069	-0.129	0.244	NA
CNAG_06280	NA	320.156	-0.117	0.137	0.7076
CNAG_06281	NA	1.129	-2.35	1.791	NA
CNAG_06282	NA	159.398	-0.125	0.165	0.7446
CNAG_06283	LIV4	259.752	0.103	0.143	0.7587
CNAG_06284	NA	106.724	-0.336	0.196	NA
CNAG_06285	NA	75.162	0.368	0.235	NA
CNAG_06286	NA	70.785	-0.247	0.253	NA
CNAG_06287	GPX2	668.589	0.085	0.137	0.7945
CNAG_06288	NA	1004.276	0.187	0.112	0.3702
CNAG_06289	NA	243.943	0.054	0.147	0.8945
CNAG_06290	HXT2	97.863	-0.164	0.196	NA
CNAG_06291	FPD1	52.29	-0.274	0.258	NA
CNAG_06292	NA	42.306	0.17	0.288	NA
CNAG_06293	NA	190.731	0.407	0.193	0.232
CNAG_06294	NA	28.196	-0.082	0.339	NA
CNAG_06295	NA	218.948	-0.179	0.152	0.5694
CNAG_06296	NA	21.446	0.097	0.379	NA
CNAG_06297	NA	59.611	0.808	0.252	NA
CNAG_06298	NA	54.9	0.268	0.274	NA
CNAG_06299	NA	192.67	0.328	0.178	0.316
CNAG_06300	NA	506.05	0.16	0.125	0.5213
CNAG_06301	SCH9	344.424	-0.134	0.129	0.6237
CNAG_06302	NA	36.272	0.228	0.314	NA
CNAG_06307	NA	56.343	-0.191	0.266	NA
CNAG_06308	NA	258.813	0.061	0.172	0.8976
CNAG_06309	NA	42.806	-0.03	0.279	NA
CNAG_06310	IRK7	276.998	0.317	0.161	0.2808
CNAG_06311	NA	70.884	-0.413	0.234	NA
CNAG_06312	NA	2.582	0.141	1.089	NA
CNAG_06313	NA	2378.976	0.079	0.101	0.73740000000000006
CNAG_06314	NA	3110.17	-0.021	0.109	0.9555
CNAG_06315	NA	409.017	-0.028	0.136	0.9493
CNAG_06316	NA	620.247	0.155	0.129	0.5557
CNAG_06317	NA	105.538	-0.014	0.215	NA
CNAG_06318	NA	867.654	0.082	0.132	0.7945
CNAG_06319	NA	101.768	0.157	0.208	NA
CNAG_06320	NA	877.149	0.168	0.153	0.6019
CNAG_06321	NA	96.599	-0.381	0.205	NA
CNAG_06322	SAS3	197.43	-0.049	0.159	0.9124
CNAG_06323	NA	110.216	-0.384	0.189	NA
CNAG_06324	NA	306.183	-0.056	0.148	0.8915
CNAG_06325	BYR4	572.503	-0.362	0.13	0.08263
CNAG_06326	NA	370.078	0.055	0.149	0.8941
CNAG_06327	MIG1	297.651	0.228	0.138	0.3803
CNAG_06328	NA	702.074	0.045	0.115	0.8862
CNAG_06329	NA	17.265	-0.059	0.431	NA
CNAG_06330	NA	94.202	-0.044	0.218	NA
CNAG_06331	NA	47.441	-0.152	0.28	NA
CNAG_06332	NA	287.688	-0.002	0.138	0.9947
CNAG_06333	NA	342.308	0.05	0.147	0.9015
CNAG_06334	NA	103.787	-0.285	0.199	NA
CNAG_06335	NA	924.349	0.202	0.13	0.4175
CNAG_06336	NA	459.382	0.864	0.133	4.001e-8
CNAG_06337	NA	16.232	0.158	0.44	NA
CNAG_06338	NA	53.111	-0.222	0.259	NA
CNAG_06339	FZC35	151.915	-0.522	0.178	NA
CNAG_06340	NA	2035.361	0.166	0.103	0.3941
CNAG_06341	NA	407.943	-0.219	0.126	0.3538
CNAG_06342	NA	378.607	-0.121	0.128	0.6658
CNAG_06343	NA	285.973	-0.056	0.147	0.8915
CNAG_06344	NA	717.641	0.123	0.118	0.6237
CNAG_06345	MDM10	119.605	0.005	0.183	NA
CNAG_06346	BLP1	32.393	0.221	0.316	NA
CNAG_06347	BLP2	1121.508	0.472	0.123	0.007699
CNAG_06348	PDR5-3	148.879	-0.053	0.166	NA
CNAG_06349	NA	39.963	-0.214	0.299	NA
CNAG_06350	NA	346.692	0.064	0.129	0.8455
CNAG_06351	SBH1	1117.911	0.118	0.112	0.6184
CNAG_06352	CGP1	321.794	-0.05	0.146	0.9001
CNAG_06353	NA	790.29	-0.169	0.135	0.5331
CNAG_06354	NA	206.558	-0.076	0.161	0.8548
CNAG_06355	NA	194.181	0.182	0.154	0.5656
CNAG_06356	NA	354.94	-0.212	0.128	0.3782
CNAG_06357	NA	198.071	0.207	0.177	0.5704
CNAG_06358	NA	173.629	-0.037	0.192	0.9555
CNAG_06359	NA	96.405	-0.023	0.196	NA
CNAG_06360	NA	111.847	-0.124	0.189	NA
CNAG_06361	NA	1239.982	0.076	0.104	0.7571
CNAG_06362	NA	264.832	0.203	0.149	0.4875
CNAG_06363	NA	318.603	-0.11	0.134	0.7194
CNAG_06364	NA	442.843	-0.404	0.119	0.02417
CNAG_06365	NA	179.561	-0.183	0.178	0.6294
CNAG_06367	NA	632.769	-0.03	0.115	0.9297
CNAG_06368	NA	168.088	-0.148	0.17	0.7018
CNAG_06369	NA	193.843	-0.04	0.156	0.9308
CNAG_06370	BAT2	629.619	-0.019	0.117	0.9654
CNAG_06371	NA	92.39	0.532	0.267	NA
CNAG_06372	NA	88.969	0.281	0.216	NA
CNAG_06373	NA	83.942	0.025	0.206	NA
CNAG_06374	NA	19.527	-0.313	0.422	NA
CNAG_06375	NA	137.239	-0.07	0.191	NA
CNAG_06376	NA	323.553	0.254	0.138	0.3163
CNAG_06377	NA	9636.318	-0.199	0.103	0.2931
CNAG_06378	NA	137.285	-0.072	0.18	NA
CNAG_06379	NA	751.452	-0.301	0.163	0.3161
CNAG_06380	NA	179.355	-0.074	0.155	0.8514
CNAG_06381	NA	2271.453	-0.093	0.103	0.6875
CNAG_06382	NA	84.702	-0.526	0.217	NA
CNAG_06383	NA	258.236	0.037	0.149	0.933
CNAG_06384	NA	233.96	0.086	0.169	0.8387
CNAG_06385	NA	908.241	-0.32	0.118	0.09496
CNAG_06386	NA	240.168	0.086	0.152	0.8172
CNAG_06387	NA	613.426	0.122	0.128	0.6647
CNAG_06388	NA	117.123	0.434	0.187	NA
CNAG_06389	NA	66.017	-0.048	0.247	NA
CNAG_06390	NA	246.853	-0.079	0.172	0.8585
CNAG_06391	NA	7.303	-0.024	0.655	NA
CNAG_06392	SGF29	1209.539	0.101	0.104	0.6588
