gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04442	NA	3.641	-0.661	0.942	0.5924
CNAG_04443	NA	284.573	0.855	0.141	1.217e-8
CNAG_04444	NA	1072.858	-0.252	0.098	0.02318
CNAG_04445	NA	14817.746	-0.761	0.136	1.542e-7
CNAG_04446	NA	61.944	-0.357	0.236	0.209
CNAG_04447	NA	243.026	-0.749	0.151	3.907e-6
CNAG_04448	NA	17519.303	-0.324	0.088	7.995e-4
CNAG_04449	HOC4	147.066	-0.301	0.176	0.1503
CNAG_04450	NA	1025.083	0.473	0.096	5.307e-6
CNAG_04451	NA	399.551	-0.417	0.12	0.001616
CNAG_04452	RSM18	988.469	-1.05	0.117	6.387e-18
CNAG_04453	IPC1	288.35	-0.493	0.138	0.001236
CNAG_04454	NA	45.013	-0.106	0.291	0.7933
CNAG_04455	NA	128.589	0.44	0.213	0.07522
CNAG_04456	NA	238.257	0.244	0.138	0.136
CNAG_04457	FZC30	91.617	0.939	0.207	2.917e-5
CNAG_04458	NA	128.623	0.329	0.191	0.1472
CNAG_04459	NA	58.243	1.036	0.258	2.437e-4
CNAG_04460	NA	402.804	-0.274	0.128	0.06547
CNAG_04461	HFM1	24.65	-0.52	0.408	0.2977
CNAG_04462	NA	79.077	0.609	0.237	0.02395
CNAG_04463	NA	331.526	-0.071	0.134	0.6904
CNAG_04465	NA	383.031	-0.504	0.155	0.003432
CNAG_04466	NA	398.373	0.608	0.121	3.296e-6
CNAG_04467	NA	128.34	-1.06	0.205	1.447e-6
CNAG_04468	NA	162.264	-0.219	0.184	0.3352
CNAG_04469	NA	44.169	0.027	0.35	0.96
CNAG_04470	NA	76.405	-0.144	0.223	0.6243
CNAG_04471	NA	38.519	-0.775	0.315	0.03098
CNAG_04472	NA	70.446	-0.042	0.241	0.9047
CNAG_04473	NA	409.027	0.196	0.121	0.175
CNAG_04474	NA	471.29	-0.586	0.143	1.751e-4
CNAG_04475	HPP3	441.636	0.335	0.115	0.009572
CNAG_04476	NA	124.514	-0.077	0.197	0.7792
CNAG_04478	NA	1878.969	0.519	0.091	8.524e-8
CNAG_04479	NA	677.346	-0.262	0.115	0.04734
CNAG_04484	NA	270.834	-0.098	0.134	0.573
CNAG_04485	NA	1626.558	-0.047	0.098	0.7228
CNAG_04486	NA	98.793	-0.193	0.199	0.4458
CNAG_04487	NA	244.677	0.32	0.139	0.04439
CNAG_04488	NA	1368.933	-0.14	0.099	0.2473
CNAG_04492	NA	112.236	0.267	0.186	0.2362
CNAG_04493	NA	251.649	0.275	0.139	0.09112
CNAG_04494	NA	800.802	-0.206	0.107	0.1022
CNAG_04495	NA	112.277	0.853	0.2	8.928e-5
CNAG_04496	NA	412.854	-0.218	0.129	0.1559
CNAG_04497	NA	224.342	0.565	0.153	8.144e-4
CNAG_04498	NA	47.315	0.011	0.277	0.9784
CNAG_04499	NA	821.231	-0.304	0.108	0.01259
CNAG_04500	NA	197.246	-0.467	0.171	0.01571
CNAG_04501	TRP1	1404.56	-0.154	0.118	0.2855
CNAG_04502	NA	539.582	0.914	0.11	1.434e-15
CNAG_04503	NA	814.508	-0.178	0.13	0.2599
CNAG_04504	NA	447.785	-0.422	0.156	0.01639
CNAG_04505	GPA1	513.363	0.057	0.11	0.6992
CNAG_04506	NA	13.55	0.736	0.567	0.2882
CNAG_04507	NA	202.482	0.458	0.154	0.007919
CNAG_04508	NA	96.599	-0.053	0.206	0.8571
CNAG_04509	NA	12.716	0.821	0.506	0.1741
CNAG_04510	VPS4	280.528	-0.256	0.146	0.1386
CNAG_04511	NA	291.7	0.571	0.138	1.511e-4
CNAG_04512	NA	112.556	-0.348	0.187	0.1144
CNAG_04513	NA	551.858	-0.21	0.116	0.123
CNAG_04514	MPK1	875.737	-0.306	0.101	0.006488
CNAG_04515	NA	209.244	0.113	0.143	0.5435
CNAG_04518	ZFC5	394.963	1.029	0.125	2.743e-15
CNAG_04519	NA	355.576	0.118	0.136	0.5007
CNAG_04520	NA	149.277	0.299	0.166	0.1273
CNAG_04521	NA	290.298	0.748	0.132	1.261e-7
CNAG_04522	NA	235.426	0.121	0.14	0.5013
CNAG_04523	NA	17.84	2.604	0.504	1.5460000000000001e-06
CNAG_04524	NA	507.283	0.61	0.129	1.327e-5
CNAG_04525	NA	342.713	-0.041	0.125	0.8182
CNAG_04526	NA	19.329	0.056	0.438	0.9317
CNAG_04527	NA	301.678	0.243	0.129	0.1084
CNAG_04528	NA	352.046	-0.09	0.132	0.6056
CNAG_04529	NA	543.586	-0.152	0.117	0.2893
CNAG_04530	NA	568.64	0.229	0.11	0.07258
CNAG_04531	NA	671.745	0.925	0.116	2.262e-14
CNAG_04534	NA	102.242	0.572	0.202	0.01179
CNAG_04535	NA	21.401	1.104	0.418	0.01981
CNAG_04536	NA	22.687	0.513	0.385	0.2745
CNAG_04537	NA	253.343	0.187	0.151	0.3124
CNAG_04538	NA	199.276	0.033	0.152	0.8825
CNAG_04539	NA	175.47	-0.181	0.186	0.4425
CNAG_04540	NA	865.791	-0.04	0.109	0.7904
CNAG_04541	NA	340.1	-0.168	0.142	0.3409
CNAG_04544	NA	129.678	-0.302	0.172	0.1398
CNAG_04545	NA	75.519	0.26	0.221	0.3414
CNAG_04546	LPI10	36.546	0.046	0.36	0.9316
CNAG_04548	NA	2.847	-0.695	1.073	0.6224
CNAG_04551	NA	0.161	-0.813	4.08	0.8908
CNAG_04552	ITR1A	3.403	-0.032	0.985	0.9823
CNAG_04553	NA	188.785	-0.487	0.185	0.01987
CNAG_04557	NA	230.836	0.714	0.142	3.212e-6
CNAG_04561	NA	131.294	0.356	0.194	0.1191
CNAG_04562	NA	76.866	-0.082	0.217	0.7868
CNAG_04563	NA	28.994	0.806	0.348	0.0439
CNAG_04564	NA	599.926	0.076	0.138	0.6773
CNAG_04565	NA	514.574	0.302	0.137	0.05559
CNAG_04566	NA	1168.363	0.398	0.114	0.001544
CNAG_04567	NA	45.742	0.056	0.296	0.896
CNAG_04570	LHP1	400.953	-0.107	0.133	0.5365
CNAG_04571	NA	243.932	-0.701	0.145	7.073e-6
CNAG_04574	NA	312.194	-0.618	0.134	2.014e-5
CNAG_04575	NA	536.311	-0.17	0.117	0.2298
CNAG_04576	NA	284.356	0.324	0.145	0.0529
CNAG_04577	NA	2003.902	0.036	0.099	0.794
CNAG_04579	NA	228.814	0.074	0.148	0.7079
CNAG_04580	NA	342.858	-0.508	0.139	8.826e-4
CNAG_04581	NA	336.175	0.112	0.128	0.4987
CNAG_04582	NA	62.277	1.798	0.262	8.628e-11
CNAG_04583	DDT1	240.08	-0.219	0.141	0.1945
CNAG_04584	NA	638.076	-0.663	0.109	1.14e-8
CNAG_04585	NA	229.462	-0.029	0.155	0.8969
CNAG_04586	HOB7	485.15	0.599	0.124	7.35e-6
CNAG_04587	NA	809.058	1.533	0.109	1.3699999999999999e-42
CNAG_04588	ERT1	276.944	-0.197	0.154	0.2958
CNAG_04589	NA	510.444	0.793	0.136	5.189e-8
CNAG_04590	NA	212.582	0.305	0.158	0.1001
CNAG_04591	NA	165.802	0.203	0.16	0.2984
CNAG_04594	FZC27	501.089	1.168	0.112	1.1319999999999999e-23
CNAG_04595	NA	94.656	-0.146	0.209	0.5948
CNAG_04596	NA	73.923	-0.164	0.225	0.5761
CNAG_04597	NA	487.894	0.551	0.187	0.00837
CNAG_04598	NA	236.209	0.514	0.146	0.001427
CNAG_04599	NA	171.014	-0.571	0.171	0.002632
CNAG_04600	NA	197.525	0.114	0.155	0.5732
CNAG_04601	NA	10179.618	0.054	0.109	0.7152
CNAG_04602	NA	78.509	0.306	0.22	0.2512
CNAG_04603	NA	165.921	-0.597	0.174	0.001977
CNAG_04604	NA	1611.987	-0.176	0.093	0.1056
CNAG_04605	ERG26	1129.147	-0.11	0.123	0.4826
CNAG_04606	NA	732.094	0.819	0.165	3.918e-6
CNAG_04607	NA	1049.68	-0.496	0.123	2.207e-4
CNAG_04608	NA	522.738	-0.468	0.116	2.175e-4
CNAG_04609	AGO1	1442.68	-0.352	0.092	5.191e-4
CNAG_04610	NA	5.421	0.341	0.826	0.764
CNAG_04611	UBC8	354.867	0.34	0.123	0.01447
CNAG_04612	NA	2290.534	-0.761	0.103	2.449e-12
CNAG_04613	NA	857.346	-0.076	0.102	0.5675
CNAG_04614	NA	198.342	0.557	0.155	0.001094
