gene	geneName	baseMean	log2FC	stderror	padj
CNAG_02052	NA	22.627	0.415	0.4	0.5095
CNAG_02053	NA	4.53	0.153	0.805	0.9221
CNAG_02054	NA	897.809	-0.259	0.12	0.1031
CNAG_02055	NA	118.007	0.172	0.186	0.5647
CNAG_02056	NA	178.62	-0.403	0.192	0.1173
CNAG_02057	URE6	108.15	-0.023	0.203	0.9566
CNAG_02058	NA	60.761	0.069	0.241	0.8797
CNAG_02059	NA	247.418	-0.107	0.155	0.6843
CNAG_02060	NA	336.485	0.115	0.181	0.7097
CNAG_02062	NA	81.707	0.248	0.22	0.4658
CNAG_02063	NA	168.703	0.567	0.168	0.006127
CNAG_02064	NA	393.793	0.026	0.149	0.9295
CNAG_02065	NA	194.343	-0.197	0.156	0.4044
CNAG_02066	FZC13	27.449	0.617	0.366	0.2312
CNAG_02067	NA	684.971	-0.255	0.122	0.1184
CNAG_02068	NA	517.056	-0.06	0.126	0.7871
CNAG_02069	NA	84.36	0.076	0.216	0.85
CNAG_02070	NA	125.23	0.65	0.187	0.0044470000000000004
CNAG_02071	BNI4	831.476	1.206	0.116	6.356e-23
CNAG_02072	NA	263.681	0.147	0.151	0.5413
CNAG_02073	NA	111.452	0.088	0.22	0.8263
CNAG_02074	NA	788.446	-0.442	0.118	0.002036
CNAG_02075	NA	194.139	-0.77	0.206	0.002024
CNAG_02076	NA	506.984	-0.207	0.141	0.3128
CNAG_02077	NA	170.908	-0.409	0.177	0.07953
CNAG_02078	NA	454.323	-0.415	0.139	0.01731
CNAG_02079	NA	375.887	0.544	0.135	8.064e-4
CNAG_02080	NA	163.209	-0.223	0.171	0.3855
CNAG_02081	NA	241.037	0.043	0.154	0.8819
CNAG_02082	NA	357.603	0.168	0.137	0.4205
CNAG_02083	SIT2	90.046	3.012	0.258	1.084e-28
CNAG_02084	ERG20	1232.245	-0.097	0.117	0.6157
CNAG_02085	HST302	104.971	-0.165	0.201	0.6183
CNAG_02086	NA	759.612	0.08	0.146	0.7546
CNAG_02087	NA	39.501	0.202	0.293	0.6821
CNAG_02088	NA	722.516	-0.045	0.127	0.8491
CNAG_02089	NA	128.111	-0.024	0.197	0.9544
CNAG_02090	GPA3	140.858	0.111	0.181	0.7189
CNAG_02091	NAP1	5364.822	0.162	0.131	0.4131
CNAG_02092	NA	531.348	0.34	0.145	0.07261
CNAG_02093	NA	380.259	-0.168	0.152	0.4766
CNAG_02094	NA	497.089	-0.519	0.139	0.002058
CNAG_02095	NA	751.695	0.448	0.129	0.004327
CNAG_02096	NA	125.682	-0.028	0.19	0.942
CNAG_02097	NA	334.076	-0.471	0.191	0.05664
CNAG_02099	FAS1	10061.22	-0.012	0.139	0.9674
CNAG_02100	FAS2	11516.401	-0.077	0.155	0.7755
CNAG_02101	NA	160.383	-0.108	0.172	0.7135
CNAG_02102	NA	50.076	0.285	0.272	0.5026
CNAG_02103	NA	41.35	0.079	0.308	0.8924
CNAG_02104	SFH5	122.983	1.002	0.189	4.58e-6
CNAG_02105	NA	223.052	0.138	0.164	0.6049
CNAG_02106	NA	1140.805	-0.649	0.115	8.908e-7
CNAG_02107	NA	77.423	-0.122	0.223	0.7529
CNAG_02108	NA	166.114	-0.011	0.176	0.9772
CNAG_02109	INP5201	354.674	0.177	0.143	0.417
CNAG_02110	NA	381.596	-0.499	0.165	0.01539
CNAG_02111	NA	101.623	-0.409	0.2	0.1288
