gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00300	NA	300.763	-0.517	0.189	0.03427
CNAG_00301	NA	1013.127	0.021	0.175	0.9499
CNAG_00302	NA	155.49	-0.281	0.255	0.4951
CNAG_00303	NA	12.645	-0.734	0.674	0.5026
CNAG_00304	NA	197.676	-0.317	0.213	0.3192
CNAG_00305	NA	7062.876	-0.003	0.16	0.993
CNAG_00306	MTN2	48.102	0.243	0.421	0.7479
CNAG_00307	NA	4659.662	0.008	0.189	0.9833
CNAG_00308	NA	93.853	-0.204	0.262	0.6504
CNAG_00309	NA	222.284	-0.216	0.189	0.4758
CNAG_00310	NA	132.959	-0.085	0.22	0.8379
CNAG_00311	NA	1066.326	0.161	0.124	0.4043
CNAG_00312	NA	287.593	-0.002	0.174	0.9966
CNAG_00313	NA	125.863	0.125	0.226	0.7579
CNAG_00314	NA	135.114	-0.107	0.25	0.8184
CNAG_00315	NA	93.663	-0.596	0.291	0.1377
CNAG_00316	HAM1	574.347	-0.054	0.175	0.8724
CNAG_00317	NA	219.298	0.35	0.193	0.205
CNAG_00318	NA	1633.581	0.015	0.13	0.95
CNAG_00319	NA	716.505	0.43	0.138	0.0133
CNAG_00320	NA	161.955	0.476	0.253	0.1817
CNAG_00321	NA	14.189	0.85	0.634	0.3848
CNAG_00322	NA	246.918	0.056	0.272	0.9197
CNAG_00323	NA	15.199	0.035	0.607	0.9764
CNAG_00326	NA	1153.365	-0.223	0.14	0.2784
CNAG_00327	NA	69.349	0.821	0.326	0.05578
CNAG_00328	NA	323.239	-0.128	0.23	0.7559
CNAG_00329	NA	2005.482	0.133	0.163	0.6331
CNAG_00330	NA	270.487	-0.043	0.223	0.9244
CNAG_00331	NA	84.417	-0.618	0.289	0.1175
CNAG_00332	SIP4	336.218	0.404	0.182	0.1023
CNAG_00333	NA	233.957	-0.008	0.23	0.985
CNAG_00334	NA	61363.387	0.156	0.184	0.6173
CNAG_00335	NA	237.133	-0.327	0.18	0.2017
CNAG_00337	NA	1287.7	0.72	0.159	1.023e-4
CNAG_00342	NA	608.855	0.006	0.16	0.9842
CNAG_00343	NA	137.194	0.499	0.228	0.10780000000000001
CNAG_00344	NA	101.746	-0.059	0.271	0.9135
CNAG_00345	NA	596.469	-0.264	0.155	0.2397
CNAG_00346	NA	172.187	-0.223	0.237	0.5715
CNAG_00347	NA	260.358	-0.262	0.179	0.3315
CNAG_00348	NA	194.257	-0.576	0.232	0.05924
CNAG_00349	NA	41.126	-0.057	0.462	0.9488
CNAG_00351	NA	113.993	0.282	0.253	0.4871
CNAG_00352	NA	450.42	-0.07	0.178	0.8359
CNAG_00353	LPI16	329.688	0.367	0.222	0.2579
CNAG_00354	NA	1060.928	0.084	0.166	0.7825
CNAG_00355	NA	613.046	0.15	0.161	0.5744
CNAG_00356	NA	496.805	-0.675	0.171	0.001054
CNAG_00357	NA	168.138	-0.293	0.237	0.434
CNAG_00358	NA	127.914	-0.193	0.225	0.6129
CNAG_00359	NA	1185.171	0.448	0.219	0.1397
CNAG_00360	NA	467.793	-0.784	0.219	0.003539
CNAG_00361	RVS167	2256.5	-0.104	0.099	0.5186
CNAG_00362	NA	221.825	0.057	0.202	0.886
CNAG_00363	TCO6	696.396	-0.247	0.212	0.4666
CNAG_00364	NA	180.145	0.343	0.245	0.3583
CNAG_00365	NA	609.588	-0.039	0.146	0.8904
CNAG_00366	NA	17.743	0.089	0.604	0.9407
CNAG_00367	DYN5	109.728	0.366	0.271	0.3793
CNAG_00368	NA	107.196	0.089	0.296	0.8775
CNAG_00369	NA	140.689	-0.165	0.265	0.7265
CNAG_00370	UBI1	16899.778	0.09	0.226	0.833
CNAG_00371	NA	64.347	-0.21	0.355	0.7393
CNAG_00372	NA	231.273	-0.386	0.264	0.3325
CNAG_00373	NA	343.961	-0.182	0.203	0.591
CNAG_00374	NA	143.765	0.261	0.265	0.5476
CNAG_00375	GCN5	317.472	0.063	0.158	0.8319
CNAG_00377	NA	498.136	0.51	0.171	0.01953
CNAG_00378	NA	43.984	-0.234	0.387	0.7344
CNAG_00383	APT3	385.22	-0.297	0.187	0.2816
CNAG_00384	NA	102.41	0.571	0.251	0.09101
CNAG_00385	NA	1784.269	0.085	0.131	0.7139
CNAG_00386	NA	614.954	0.189	0.178	0.5151
CNAG_00387	LPI13	468.773	-0.176	0.163	0.5049
CNAG_00388	NA	425.807	0.137	0.187	0.6711
CNAG_00389	NA	642.644	0.078	0.159	0.7899
CNAG_00390	YMR1	89.13	0.142	0.272	0.7743
CNAG_00391	NA	246.724	-0.184	0.188	0.5517
CNAG_00392	NA	94.869	-0.374	0.273	0.3707
CNAG_00393	NA	185.746	-1.249	0.268	6.212e-5
CNAG_00394	NA	753.426	0.312	0.158	0.158
CNAG_00395	NA	157.001	-0.281	0.227	0.4308
CNAG_00396	PKA1	165.675	-0.421	0.242	0.2293
CNAG_00397	NA	64.324	-0.579	0.391	0.3239
CNAG_00398	NA	625.349	1.09	0.241	1.056e-4
CNAG_00399	NA	663.289	-0.074	0.202	0.8483
CNAG_00400	NA	1530.634	0.095	0.124	0.6559
CNAG_00401	NA	253.997	-0.011	0.202	0.9795
CNAG_00402	NA	909.375	0.341	0.134	0.05132
CNAG_00403	NA	220.268	-0.091	0.19	0.7926
CNAG_00404	NA	202.313	-0.354	0.216	0.262
CNAG_00405	KIC1	308.061	-0.008	0.191	0.9842
CNAG_00406	NA	423.97	0.802	0.156	7.028e-6
CNAG_00407	NA	1193.784	0.613	0.196	0.01287
CNAG_00408	PPH3	118.334	0.116	0.28	0.8248
CNAG_00409	NA	164.359	-0.495	0.254	0.1649
CNAG_00410	NA	500.751	-0.554	0.152	0.003005
CNAG_00411	NA	557.707	0.097	0.152	0.7189
CNAG_00413	OFD1	512.445	0.135	0.155	0.6053
CNAG_00414	MAK32	92.989	-0.155	0.274	0.7521
CNAG_00415	CDC2801	131.253	-0.191	0.223	0.612
