gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04813	NA	1587.672	0.287	0.144	0.1134
CNAG_04814	NA	150.439	0.046	0.166	0.87
CNAG_04815	BNI1	309.947	0.041	0.125	0.8461
CNAG_04816	NA	1022.802	0.596	0.101	5.885e-8
CNAG_04817	NA	975.337	-0.42	0.102	2.663e-4
CNAG_04818	NA	374.698	0.274	0.163	0.1981
CNAG_04819	NA	190.76	0.288	0.158	0.1549
CNAG_04820	NA	784.052	0.135	0.111	0.3811
CNAG_04821	PAN3	1087.735	0.005	0.113	0.9813
CNAG_04822	NA	148.921	-0.715	0.166	1.271e-4
CNAG_04823	NA	488.97	-0.263	0.115	0.06374
CNAG_04824	NA	363.631	-0.088	0.146	0.6992
CNAG_04825	NA	257.461	0.004	0.146	0.988
CNAG_04826	NA	397.095	0.264	0.125	0.08994
CNAG_04827	NA	395.319	-0.161	0.124	0.3435
CNAG_04828	H3.3	10749.1	0.252	0.091	0.02028
CNAG_04829	NA	44.782	-0.659	0.288	0.06404
CNAG_04830	NA	512.539	-0.652	0.116	2.954e-7
CNAG_04831	NA	120.905	0.239	0.18	0.3317
CNAG_04832	NA	717.916	-0.225	0.114	0.1196
CNAG_04833	TEP1	244.777	0.42	0.151	0.02006
CNAG_04834	NA	93.368	-0.044	0.202	0.8998
CNAG_04835	NA	192.277	0.476	0.172	0.02054
CNAG_04836	FZC10	79.514	-0.283	0.224	0.361
CNAG_04837	MLN1	31.476	1.154	0.341	0.00351
CNAG_04838	NA	386.84	0.103	0.125	0.5787
CNAG_04839	NA	431.225	-0.336	0.121	0.01996
CNAG_04840	NA	3257.437	-0.292	0.111	0.02898
CNAG_04841	FZC43	257.696	-0.054	0.141	0.8173
CNAG_04842	NA	301.625	0.185	0.141	0.3395
CNAG_04843	NA	923.161	-0.217	0.097	0.07036
CNAG_04844	NA	3443.569	-0.367	0.088	2.135e-4
CNAG_04845	NA	326.524	0.087	0.127	0.6542
CNAG_04846	NA	464.85	-0.406	0.114	0.00191
CNAG_04847	NA	280.452	-0.318	0.159	0.1138
CNAG_04848	NA	1228.581	-0.229	0.113	0.1083
CNAG_04849	NA	376.992	0.183	0.124	0.2714
CNAG_04850	NA	100.795	0.176	0.214	0.5792
CNAG_04851	NA	7688.539	0.351	0.082	1.418e-4
CNAG_04852	NDX4	290.346	-0.299	0.135	0.07551
CNAG_04853	NA	406.804	0.142	0.118	0.3877
CNAG_04855	NA	87.765	-0.012	0.209	0.9755
CNAG_04857	NA	4019.31	-0.292	0.124	0.05402
CNAG_04858	NA	3584.017	0.666	0.1	6.832e-10
CNAG_04859	NA	163.596	-0.228	0.169	0.3227
CNAG_04860	XPT1	677.2	-0.133	0.107	0.3709
CNAG_04861	NA	1416.433	0.352	0.101	0.00238
