gene	geneName	baseMean	log2FC	stderror	padj
CNAG_05025	NA	120.871	0.052	0.188	0.827
CNAG_05026	NA	392.019	-0.245	0.14	0.1254
CNAG_05027	NA	148.047	-0.214	0.192	0.3459
CNAG_05028	NA	1084.311	0.803	0.133	9.697e-9
CNAG_05029	NA	278.019	0.25	0.157	0.1643
CNAG_05030	NA	181.816	0.491	0.171	0.008685
CNAG_05031	NA	2484.82	-1.687	0.125	4.418e-40
CNAG_05032	NA	202.418	-1.154	0.214	3.689e-7
CNAG_05033	NA	483.247	0.747	0.154	4.924e-6
CNAG_05034	NA	175.508	-0.11	0.183	0.6292
CNAG_05035	NA	282.169	0.054	0.153	0.779
CNAG_05036	NA	367.353	-0.207	0.167	0.2883
CNAG_05037	NA	4.609	0.925	0.843	0.3543
CNAG_05038	NA	206.893	-1.04	0.186	1.157e-7
CNAG_05039	NA	239.029	0.579	0.181	0.00323
CNAG_05040	NA	5.81	-2.016	0.887	0.04148
CNAG_05041	NA	1249.937	0.992	0.15	3.031e-10
